reported_date,province_state,population,lat,lng,confirmed,active,deaths,recovered,hospitalization_rate,incident_rate,mortality_rate,people_hospitalized,people_tested,testing_rate
2020-05-10,Wisconsin,5822434,44.2685,-89.6165,10219,4805,400,5014,17.81,197.48,3.91,1820,115382,2229.79
2020-05-09,Wisconsin,5822434,44.2685,-89.6165,9939,4666,398,4875,18.17,192.07,4,1806,111874,2162
2020-05-15,Wisconsin,5822434,44.2685,-89.6165,11685,4990,445,6250,16.92,200.69,3.81,1977,140342,2410.37
2020-05-14,Wisconsin,5822434,44.2685,-89.6165,11275,4847,434,5994,17.2,193.65,3.85,1939,133873,2299.26
2020-05-13,Wisconsin,5822434,44.2685,-89.6165,10902,4808,421,5673,17.5,210.68,3.86,1908,128013,2473.89
2020-05-12,Wisconsin,5822434,44.2685,-89.6165,10611,4822,418,5371,17.69,205.06,3.94,1877,123359,2383.95
2020-05-19,Wisconsin,5822434,44.2685,-89.6165,12885,5047,467,7371,16.38,221.3,3.62,2110,161122,2767.26
2020-05-18,Wisconsin,5822434,44.2685,-89.6165,12687,5442,459,6786,16.3,217.9,3.62,2068,157189,2699.71
2020-05-17,Wisconsin,5822434,44.2685,-89.6165,12543,5548,453,6542,16.25,215.43,3.61,2038,152217,2614.32
2020-05-16,Wisconsin,5822434,44.2685,-89.6165,12187,5192,453,6542,16.56,209.31,3.72,2018,146393,2514.29
2020-05-23,Wisconsin,5822434,44.2685,-89.6165,14877,5682,507,8688,15.41,255.51,3.41,2292,194206,3335.48
2020-05-22,Wisconsin,5822434,44.2685,-89.6165,14396,5538,496,8362,15.69,247.25,3.45,2259,187099,3213.42
2020-05-21,Wisconsin,5822434,44.2685,-89.6165,13885,5386,487,8012,15.97,238.47,3.51,2218,177123,3042.08
2020-05-20,Wisconsin,5822434,44.2685,-89.6165,13413,5204,481,7728,16.11,230.37,3.59,2161,167713,2880.46
2020-05-27,Wisconsin,5822434,44.2685,-89.6165,16462,6077,539,9846,14.65,282.73,3.27,2411,227067,3899.86
2020-05-26,Wisconsin,5822434,44.2685,-89.6165,15863,5941,517,9405,14.89,272.45,3.26,2362,216737,3722.45
